resume_id,job_id,all-mpnet-base-v2_score,paraphrase-MiniLM-L6-v2_score,all-MiniLM-L12-v1_score,all-roberta-large-v1_score,bert_base_nli_mean_tokens_score
pdf_resume_1313,Full-stack Developer.txt,0.626,0.626,0.565,0.559,0.875
pdf_resume_1320,Full-stack Developer.txt,0.607,0.606,0.625,0.519,0.856
pdf_resume_1323,Full-stack Developer.txt,0.347,0.164,0.417,0.332,0.748
pdf_resume_1327,Full-stack Developer.txt,0.159,0.125,0.147,0.155,0.682
pdf_resume_1333,Full-stack Developer.txt,0.656,0.661,0.597,0.636,0.85
pdf_resume_1335,Full-stack Developer.txt,0.519,0.479,0.589,0.444,0.827
pdf_resume_1337,Full-stack Developer.txt,0.385,0.297,0.384,0.316,0.824
pdf_resume_1339,Full-stack Developer.txt,0.626,0.626,0.635,0.53,0.855
pdf_resume_1348,Full-stack Developer.txt,0.476,0.445,0.462,0.434,0.796
pdf_resume_1353,Full-stack Developer.txt,0.419,0.421,0.409,0.326,0.805
pdf_resume_1356,Full-stack Developer.txt,0.622,0.606,0.611,0.585,0.84
pdf_resume_1358,Full-stack Developer.txt,0.496,0.541,0.425,0.466,0.804
pdf_resume_136,Full-stack Developer.txt,0.618,0.611,0.611,0.514,0.832
pdf_resume_1360,Full-stack Developer.txt,0.482,0.47,0.545,0.407,0.788
pdf_resume_1362,Full-stack Developer.txt,0.322,0.324,0.31,0.38,0.761
pdf_resume_1364,Full-stack Developer.txt,0.518,0.255,0.544,0.435,0.804
pdf_resume_1370,Full-stack Developer.txt,0.237,0.245,0.319,0.225,0.758
pdf_resume_1371,Full-stack Developer.txt,0.409,0.233,0.423,0.339,0.763
pdf_resume_1376,Full-stack Developer.txt,0.0,0.0,0.0,0.0,0.625
pdf_resume_1386,Full-stack Developer.txt,0.293,0.262,0.351,0.384,0.758
pdf_resume_1387,Full-stack Developer.txt,0.0,0.0,0.0,0.0,0.625
pdf_resume_1388,Full-stack Developer.txt,0.612,0.534,0.629,0.524,0.836
pdf_resume_1394,Full-stack Developer.txt,0.578,0.582,0.591,0.438,0.822
pdf_resume_14,Full-stack Developer.txt,0.634,0.611,0.639,0.615,0.843
pdf_resume_1412,Full-stack Developer.txt,0.496,0.537,0.425,0.408,0.804
pdf_resume_1418,Full-stack Developer.txt,0.625,0.59,0.623,0.596,0.851
pdf_resume_1425,Full-stack Developer.txt,0.336,0.207,0.313,0.253,0.739
pdf_resume_1434,Full-stack Developer.txt,0.322,0.212,0.309,0.286,0.769
pdf_resume_1446,Full-stack Developer.txt,0.557,0.226,0.55,0.487,0.782
pdf_resume_1448,Full-stack Developer.txt,0.399,0.375,0.386,0.381,0.78
pdf_resume_145,Full-stack Developer.txt,0.387,0.212,0.309,0.296,0.798
pdf_resume_1451,Full-stack Developer.txt,0.404,0.139,0.398,0.302,0.746
pdf_resume_1454,Full-stack Developer.txt,0.411,0.206,0.42,0.14,0.724
pdf_resume_1457,Full-stack Developer.txt,0.328,0.269,0.278,0.266,0.78
pdf_resume_1474,Full-stack Developer.txt,0.557,0.223,0.489,0.545,0.778
pdf_resume_1476,Full-stack Developer.txt,0.601,0.625,0.671,0.586,0.832
pdf_resume_1479,Full-stack Developer.txt,0.334,0.062,0.334,0.239,0.77
pdf_resume_1480,Full-stack Developer.txt,0.442,0.384,0.59,0.491,0.794
pdf_resume_1481,Full-stack Developer.txt,0.391,0.27,0.441,0.427,0.802
pdf_resume_1483,Full-stack Developer.txt,0.319,0.212,0.379,0.292,0.816
pdf_resume_1484,Full-stack Developer.txt,0.616,0.437,0.598,0.577,0.825
pdf_resume_1486,Full-stack Developer.txt,0.338,0.127,0.394,0.357,0.776
pdf_resume_1487,Full-stack Developer.txt,0.45,0.441,0.493,0.384,0.83
pdf_resume_149,Full-stack Developer.txt,0.543,0.547,0.561,0.523,0.844
pdf_resume_1490,Full-stack Developer.txt,0.334,0.062,0.334,0.239,0.77
pdf_resume_1496,Full-stack Developer.txt,0.328,0.382,0.347,0.316,0.773
pdf_resume_1498,Full-stack Developer.txt,0.471,0.492,0.468,0.499,0.76
pdf_resume_15,Full-stack Developer.txt,0.617,0.608,0.611,0.522,0.843
pdf_resume_150,Full-stack Developer.txt,0.455,0.51,0.554,0.419,0.795
pdf_resume_1500,Full-stack Developer.txt,0.458,0.433,0.515,0.426,0.815
pdf_resume_1501,Full-stack Developer.txt,0.458,0.433,0.515,0.426,0.815
pdf_resume_1502,Full-stack Developer.txt,0.423,0.202,0.382,0.376,0.75
pdf_resume_1503,Full-stack Developer.txt,0.364,0.424,0.367,0.356,0.799
pdf_resume_151,Full-stack Developer.txt,0.471,0.234,0.441,0.461,0.716
pdf_resume_1520,Full-stack Developer.txt,0.478,0.591,0.599,0.539,0.825
pdf_resume_1522,Full-stack Developer.txt,0.486,0.444,0.51,0.432,0.803
pdf_resume_1523,Full-stack Developer.txt,0.334,0.062,0.334,0.239,0.769
pdf_resume_1524,Full-stack Developer.txt,0.334,0.0,0.334,0.239,0.749
pdf_resume_1527,Full-stack Developer.txt,0.557,0.496,0.556,0.523,0.82
pdf_resume_153,Full-stack Developer.txt,0.384,0.212,0.373,0.313,0.789
pdf_resume_1530,Full-stack Developer.txt,0.61,0.437,0.602,0.578,0.816
pdf_resume_1537,Full-stack Developer.txt,0.395,0.347,0.38,0.368,0.813
pdf_resume_1542,Full-stack Developer.txt,0.58,0.501,0.575,0.425,0.856
pdf_resume_1546,Full-stack Developer.txt,0.531,0.47,0.508,0.487,0.781
pdf_resume_1555,Full-stack Developer.txt,0.433,0.316,0.462,0.472,0.782
pdf_resume_1556,Full-stack Developer.txt,0.379,0.212,0.384,0.29,0.802
pdf_resume_1557,Full-stack Developer.txt,0.556,0.427,0.561,0.502,0.768
pdf_resume_1559,Full-stack Developer.txt,0.17,0.129,0.144,0.133,0.744
pdf_resume_1560,Full-stack Developer.txt,0.378,0.273,0.44,0.29,0.802
pdf_resume_1570,Full-stack Developer.txt,0.6,0.531,0.584,0.475,0.821
pdf_resume_1571,Full-stack Developer.txt,0.448,0.431,0.449,0.507,0.792
pdf_resume_1573,Full-stack Developer.txt,0.493,0.436,0.496,0.494,0.81
pdf_resume_1581,Full-stack Developer.txt,0.638,0.571,0.597,0.627,0.849
pdf_resume_1582,Full-stack Developer.txt,0.384,0.212,0.384,0.306,0.808
pdf_resume_1590,Full-stack Developer.txt,0.61,0.5,0.602,0.578,0.82
pdf_resume_1592,Full-stack Developer.txt,0.51,0.435,0.486,0.492,0.767
pdf_resume_1614,Full-stack Developer.txt,0.528,0.144,0.481,0.383,0.769
pdf_resume_1619,Full-stack Developer.txt,0.392,0.242,0.371,0.382,0.739
pdf_resume_162,Full-stack Developer.txt,0.417,0.457,0.466,0.437,0.825
pdf_resume_1624,Full-stack Developer.txt,0.232,0.212,0.296,0.207,0.72
pdf_resume_1625,Full-stack Developer.txt,0.563,0.472,0.603,0.505,0.783
pdf_resume_1643,Full-stack Developer.txt,0.437,0.445,0.449,0.431,0.751
pdf_resume_1646,Full-stack Developer.txt,0.569,0.387,0.423,0.391,0.8
pdf_resume_1649,Full-stack Developer.txt,0.395,0.298,0.385,0.316,0.795
pdf_resume_165,Full-stack Developer.txt,0.65,0.596,0.605,0.555,0.859
pdf_resume_1662,Full-stack Developer.txt,0.453,0.418,0.474,0.374,0.824
pdf_resume_1675,Full-stack Developer.txt,0.545,0.284,0.615,0.392,0.808
pdf_resume_1682,Full-stack Developer.txt,0.468,0.461,0.59,0.523,0.873
pdf_resume_1692,Full-stack Developer.txt,0.532,0.186,0.52,0.424,0.759
pdf_resume_1694,Full-stack Developer.txt,0.555,0.626,0.562,0.54,0.84
pdf_resume_171,Full-stack Developer.txt,0.502,0.498,0.37,0.49,0.814
pdf_resume_1710,Full-stack Developer.txt,0.618,0.584,0.614,0.596,0.824
pdf_resume_1715,Full-stack Developer.txt,0.445,0.44,0.447,0.358,0.809
pdf_resume_1717,Full-stack Developer.txt,0.638,0.5,0.617,0.606,0.789
pdf_resume_1720,Full-stack Developer.txt,0.569,0.632,0.634,0.574,0.865
pdf_resume_1724,Full-stack Developer.txt,0.502,0.269,0.517,0.407,0.752
pdf_resume_1726,Full-stack Developer.txt,0.41,0.332,0.399,0.371,0.782
pdf_resume_1728,Full-stack Developer.txt,0.545,0.437,0.561,0.491,0.793
pdf_resume_173,Full-stack Developer.txt,0.569,0.505,0.605,0.605,0.824
pdf_resume_1730,Full-stack Developer.txt,0.504,0.318,0.596,0.425,0.793
pdf_resume_1732,Full-stack Developer.txt,0.449,0.39,0.392,0.444,0.811
pdf_resume_1738,Full-stack Developer.txt,0.647,0.664,0.671,0.637,0.871
pdf_resume_1739,Full-stack Developer.txt,0.366,0.197,0.34,0.371,0.749
pdf_resume_1740,Full-stack Developer.txt,0.44,0.435,0.568,0.365,0.823
pdf_resume_1741,Full-stack Developer.txt,0.387,0.212,0.392,0.306,0.805
pdf_resume_1747,Full-stack Developer.txt,0.499,0.617,0.629,0.544,0.869
pdf_resume_1754,Full-stack Developer.txt,0.644,0.631,0.68,0.577,0.832
pdf_resume_176,Full-stack Developer.txt,0.456,0.404,0.524,0.437,0.817
pdf_resume_1767,Full-stack Developer.txt,0.132,0.267,0.321,0.118,0.738
pdf_resume_1772,Full-stack Developer.txt,0.451,0.271,0.436,0.356,0.764
pdf_resume_1775,Full-stack Developer.txt,0.416,0.38,0.403,0.519,0.755
pdf_resume_1782,Full-stack Developer.txt,0.328,0.269,0.376,0.325,0.745
pdf_resume_179,Full-stack Developer.txt,0.283,0.353,0.337,0.271,0.79
pdf_resume_1792,Full-stack Developer.txt,0.618,0.552,0.619,0.543,0.838
pdf_resume_1793,Full-stack Developer.txt,0.0,0.061,0.0,0.064,0.661
pdf_resume_1794,Full-stack Developer.txt,0.438,0.253,0.484,0.455,0.774
pdf_resume_180,Full-stack Developer.txt,0.398,0.212,0.392,0.373,0.809
pdf_resume_1802,Full-stack Developer.txt,0.438,0.417,0.363,0.281,0.808
pdf_resume_1803,Full-stack Developer.txt,0.529,0.267,0.516,0.491,0.755
pdf_resume_1804,Full-stack Developer.txt,0.759,0.655,0.768,0.68,0.874
pdf_resume_1806,Full-stack Developer.txt,0.395,0.178,0.415,0.337,0.771
pdf_resume_1815,Full-stack Developer.txt,0.216,0.178,0.102,0.091,0.702
pdf_resume_1816,Full-stack Developer.txt,0.391,0.401,0.516,0.415,0.834
pdf_resume_1823,Full-stack Developer.txt,0.334,0.0,0.334,0.239,0.749
pdf_resume_1824,Full-stack Developer.txt,0.334,0.0,0.334,0.239,0.751
pdf_resume_1829,Full-stack Developer.txt,0.337,0.336,0.402,0.331,0.807
pdf_resume_1838,Full-stack Developer.txt,0.536,0.213,0.531,0.455,0.772
pdf_resume_1839,Full-stack Developer.txt,0.387,0.262,0.425,0.391,0.766
pdf_resume_1842,Full-stack Developer.txt,0.525,0.202,0.512,0.447,0.767
pdf_resume_1847,Full-stack Developer.txt,0.648,0.46,0.649,0.569,0.865
pdf_resume_1856,Full-stack Developer.txt,0.319,0.212,0.379,0.302,0.794
pdf_resume_186,Full-stack Developer.txt,0.443,0.286,0.448,0.445,0.813
pdf_resume_1861,Full-stack Developer.txt,0.487,0.48,0.621,0.466,0.791
pdf_resume_1864,Full-stack Developer.txt,0.416,0.326,0.492,0.375,0.778
pdf_resume_1875,Full-stack Developer.txt,0.255,0.168,0.309,0.25,0.679
pdf_resume_1881,Full-stack Developer.txt,0.303,0.298,0.308,0.349,0.7
pdf_resume_1887,Full-stack Developer.txt,0.61,0.62,0.617,0.529,0.846
pdf_resume_1889,Full-stack Developer.txt,0.399,0.283,0.392,0.305,0.826
pdf_resume_189,Full-stack Developer.txt,0.621,0.631,0.644,0.586,0.867
pdf_resume_1892,Full-stack Developer.txt,0.658,0.632,0.646,0.575,0.853
pdf_resume_1899,Full-stack Developer.txt,0.69,0.676,0.667,0.682,0.876
pdf_resume_19,Full-stack Developer.txt,0.64,0.621,0.639,0.613,0.846
pdf_resume_1902,Full-stack Developer.txt,0.427,0.241,0.422,0.384,0.763
pdf_resume_1915,Full-stack Developer.txt,0.46,0.283,0.515,0.437,0.809
pdf_resume_192,Full-stack Developer.txt,0.503,0.345,0.469,0.43,0.75
pdf_resume_1928,Full-stack Developer.txt,0.596,0.546,0.583,0.534,0.799
pdf_resume_1929,Full-stack Developer.txt,0.603,0.612,0.625,0.516,0.85
pdf_resume_1937,Full-stack Developer.txt,0.528,0.476,0.506,0.484,0.807
pdf_resume_1941,Full-stack Developer.txt,0.322,0.256,0.321,0.325,0.801
pdf_resume_1945,Full-stack Developer.txt,0.651,0.632,0.643,0.56,0.854
pdf_resume_1947,Full-stack Developer.txt,0.38,0.212,0.309,0.296,0.78
pdf_resume_1949,Full-stack Developer.txt,0.353,0.135,0.269,0.257,0.759
pdf_resume_1952,Full-stack Developer.txt,0.563,0.34,0.497,0.489,0.808
pdf_resume_1959,Full-stack Developer.txt,0.595,0.583,0.457,0.513,0.841
pdf_resume_1961,Full-stack Developer.txt,0.311,0.277,0.296,0.215,0.775
pdf_resume_1967,Full-stack Developer.txt,0.42,0.277,0.341,0.285,0.777
pdf_resume_1969,Full-stack Developer.txt,0.137,0.261,0.058,0.182,0.703
pdf_resume_197,Full-stack Developer.txt,0.482,0.182,0.461,0.387,0.778
pdf_resume_1976,Full-stack Developer.txt,0.389,0.071,0.375,0.292,0.735
pdf_resume_1978,Full-stack Developer.txt,0.552,0.451,0.567,0.516,0.808
pdf_resume_1984,Full-stack Developer.txt,0.398,0.233,0.381,0.316,0.811
pdf_resume_1988,Full-stack Developer.txt,0.468,0.504,0.462,0.503,0.819
pdf_resume_1989,Full-stack Developer.txt,0.276,0.0,0.334,0.229,0.75
pdf_resume_1993,Full-stack Developer.txt,0.458,0.463,0.507,0.425,0.808
pdf_resume_1994,Full-stack Developer.txt,0.382,0.121,0.37,0.369,0.77
pdf_resume_1995,Full-stack Developer.txt,0.637,0.609,0.636,0.614,0.845
pdf_resume_1996,Full-stack Developer.txt,0.467,0.376,0.398,0.388,0.866
pdf_resume_1998,Full-stack Developer.txt,0.505,0.315,0.508,0.458,0.779
pdf_resume_20,Full-stack Developer.txt,0.617,0.571,0.624,0.579,0.809
pdf_resume_2005,Full-stack Developer.txt,0.319,0.212,0.379,0.353,0.831
pdf_resume_2007,Full-stack Developer.txt,0.646,0.65,0.63,0.635,0.847
pdf_resume_2008,Full-stack Developer.txt,0.64,0.611,0.639,0.613,0.847
pdf_resume_2009,Full-stack Developer.txt,0.606,0.606,0.615,0.588,0.839
pdf_resume_201,Full-stack Developer.txt,0.686,0.633,0.693,0.549,0.875
pdf_resume_2010,Full-stack Developer.txt,0.615,0.614,0.625,0.517,0.855
pdf_resume_2011,Full-stack Developer.txt,0.656,0.633,0.663,0.628,0.863
pdf_resume_2012,Full-stack Developer.txt,0.301,0.314,0.246,0.302,0.783
pdf_resume_2013,Full-stack Developer.txt,0.611,0.612,0.618,0.456,0.842
pdf_resume_2014,Full-stack Developer.txt,0.351,0.345,0.398,0.307,0.808
pdf_resume_2015,Full-stack Developer.txt,0.491,0.309,0.33,0.36,0.749
pdf_resume_2020,Full-stack Developer.txt,0.552,0.638,0.57,0.532,0.827
pdf_resume_2022,Full-stack Developer.txt,0.488,0.512,0.473,0.47,0.852
pdf_resume_2025,Full-stack Developer.txt,0.488,0.295,0.557,0.324,0.796
pdf_resume_2027,Full-stack Developer.txt,0.481,0.427,0.516,0.538,0.815
pdf_resume_2035,Full-stack Developer.txt,0.594,0.538,0.589,0.555,0.832
pdf_resume_204,Full-stack Developer.txt,0.157,0.21,0.161,0.16,0.675
pdf_resume_2040,Full-stack Developer.txt,0.468,0.455,0.54,0.41,0.822
pdf_resume_2041,Full-stack Developer.txt,0.426,0.233,0.291,0.431,0.718
pdf_resume_2042,Full-stack Developer.txt,0.0,0.0,0.0,0.0,0.625
pdf_resume_2043,Full-stack Developer.txt,0.485,0.512,0.462,0.459,0.84
pdf_resume_2044,Full-stack Developer.txt,0.334,0.0,0.334,0.239,0.748
pdf_resume_2052,Full-stack Developer.txt,0.592,0.595,0.64,0.559,0.843
pdf_resume_2053,Full-stack Developer.txt,0.458,0.2,0.37,0.423,0.78
